cod;codPostal;nomCalle
484;01010;EUSKALERRIA BULEBAR
485;01010;EUSKALTZAINDIA
486;01010;FAUSTO IÑIGUEZ DE BETOLAZA
487;01010;FORONDA DE,Portal
488;01010;FRANCISCO JAVIER DE LANDABURU
489;01010;FRANCISCO LONGA
490;01010;GABRIEL CELAYA
491;01010;GABRIEL DE ARESTI
492;01010;GERARDO DIEGO
493;01010;GERNIKAKO ARBOLA
494;01010;GETARIA
495;01010;GIRONA
496;01010;GOROS,Plaza
497;01010;GRAN SOL
498;01010;HONDARRIBIA
499;01010;HUETOS, LOS,Avenida
500;01010;IGNACIO ALDECOA,Plaza
501;01010;IRATI
502;01010;JACINTO ARREGUI
503;01010;JORGE GUILLEN
504;01010;JOSE DOMINGO DE OLARTE
505;01010;JOSE MARIA DIAZ DE MENDIVIL
506;01010;JUAN CRISOSTOMO DE ARRIAGA
507;01010;JUAN DE VELASCO
508;01010;JULIAN DE ARRESE
509;01010;JUNTAS GENERALES
510;01010;LAKUABURUA
511;01010;LANDAVERDE
512;01010;LARRABASTERRA
513;01010;LAUAXETA
514;01010;LAUBIDEA,Plazuela
515;01010;LLEIDA
516;01010;LORETO ARRIOLA
517;01010;MALZAGA
518;01010;MARTIN DE SARACIBAR
519;01010;MARTIN SUSAETA
520;01010;MEDITERRANEO,Avenida
521;01010;MENDIOSPEA
522;01010;MIGUEL HERNANDEZ
523;01010;MONASTERIO DE IRATXE
524;01010;MONASTERIO DE LEIRE
525;01010;ORHY
526;01010;ORIO
527;01010;ORIXE
528;01010;PABLO MURILLO
529;01010;PADURA
530;01010;PAMPLONA-IRUÑEA
531;01010;PAULA MONTAL
532;01010;PEDRO SALINAS
533;01010;PORTAL DE FORONDA
534;01010;RAFAEL ALBERTI
535;01010;RESURRECCION MARIA DE AZKUE
536;01010;RIO AYUDA
537;01010;RIO BARRUNDIA
538;01010;RIO BAYAS
539;01010;RIO BERRON
540;01010;RIO EGA
541;01010;RIO EGUILETA
542;01010;RIO INGLARES
543;01010;RIO OMECILLO
544;01010;RIO SANTA ENGRACIA
545;01010;RIO URAGANIA
